iter	Passed	Remaining
662	2111	1073
663	2114	1069
664	2117	1066
665	2120	1063
666	2123	1059
667	2125	1056
668	2128	1053
669	2131	1049
670	2134	1046
671	2137	1043
672	2140	1040
673	2143	1036
674	2146	1033
675	2149	1030
676	2152	1027
677	2155	1023
678	2158	1020
679	2161	1017
680	2164	1013
681	2167	1010
682	2170	1007
683	2172	1003
684	2175	1000
685	2178	997
686	2181	993
687	2185	990
688	2188	987
689	2191	984
690	2194	981
691	2197	978
692	2200	974
693	2203	971
694	2206	968
695	2209	964
696	2212	961
697	2216	958
698	2219	955
699	2221	952
700	2224	948
701	2227	945
702	2230	942
703	2233	939
704	2236	935
705	2239	932
706	2242	929
707	2245	926
708	2248	922
709	2251	919
710	2254	916
711	2257	912
712	2259	909
713	2262	906
714	2265	903
715	2268	899
716	2271	896
717	2274	893
718	2277	890
719	2280	886
720	2283	883
721	2287	880
722	2291	877
723	2295	874
724	2298	871
725	2302	868
726	2306	865
727	2309	862
728	2312	859
729	2315	856
730	2318	853
731	2321	849
732	2324	846
733	2327	843
734	2330	840
735	2333	836
736	2336	833
737	2339	830
738	2342	827
739	2345	823
740	2347	820
741	2350	817
742	2353	814
743	2356	810
744	2360	807
745	2363	804
746	2366	801
747	2368	798
748	2372	794
749	2375	791
750	2379	788
751	2381	785
752	2384	782
753	2387	779
754	2390	775
755	2394	772
756	2397	769
757	2400	766
758	2403	763
759	2406	759
760	2409	756
761	2412	753
762	2415	750
763	2418	746
764	2421	743
765	2423	740
766	2427	737
767	2430	734
768	2432	730
769	2436	727
770	2439	724
771	2442	721
772	2445	718
773	2448	714
774	2451	711
775	2453	708
776	2456	705
777	2459	701
778	2462	698
779	2465	695
780	2468	692
781	2471	688
782	2474	685
783	2477	682
784	2479	679
785	2483	676
786	2486	672
787	2490	669
788	2493	666
789	2496	663
790	2500	660
791	2503	657
792	2506	654
793	2510	651
794	2513	648
795	2517	645
796	2520	641
797	2524	638
798	2527	635
799	2530	632
800	2534	629
801	2537	626
802	2540	623
803	2543	620
804	2547	616
805	2550	613
806	2553	610
807	2557	607
808	2560	604
809	2564	601
810	2567	598
811	2570	595
812	2573	592
813	2577	588
814	2580	585
815	2584	582
816	2589	579
817	2592	576
818	2595	573
819	2597	570
820	2600	567
821	2603	563
822	2606	560
823	2609	557
824	2612	554
825	2615	550
826	2618	547
827	2621	544
828	2624	541
829	2627	538
830	2630	534
831	2633	531
832	2635	528
833	2638	525
834	2641	521
835	2644	518
836	2647	515
837	2650	512
838	2654	509
839	2657	506
840	2660	502
841	2663	499
842	2666	496
843	2669	493
844	2672	490
845	2676	487
846	2678	483
847	2682	480
848	2685	477
849	2689	474
850	2691	471
851	2694	468
852	2697	464
853	2700	461
854	2704	458
855	2707	455
856	2709	452
857	2712	448
858	2715	445
859	2718	442
860	2721	439
861	2724	436
862	2727	432
863	2730	429
864	2733	426
865	2736	423
866	2738	420
867	2741	416
868	2744	413
869	2747	410
870	2750	407
871	2753	404
872	2756	400
873	2759	397
874	2762	394
875	2766	391
876	2769	388
877	2772	385
878	2777	382
879	2780	379
880	2784	376
881	2787	372
882	2790	369
883	2796	366
884	2801	364
885	2805	360
886	2808	357
887	2811	354
888	2814	351
889	2818	348
890	2821	345
891	2824	341
892	2827	338
893	2830	335
894	2833	332
895	2836	329
896	2839	326
897	2843	322
898	2846	319
899	2850	316
900	2853	313
901	2856	310
902	2858	307
903	2861	303
904	2865	300
905	2868	297
906	2871	294
907	2874	291
908	2877	288
909	2880	284
910	2884	281
911	2887	278
912	2890	275
913	2893	272
914	2895	269
915	2899	265
916	2902	262
917	2905	259
918	2908	256
919	2911	253
920	2914	250
921	2918	246
922	2921	243
923	2924	240
924	2927	237
925	2931	234
926	2934	231
927	2937	227
928	2940	224
929	2943	221
930	2946	218
931	2949	215
932	2952	212
933	2955	208
934	2958	205
935	2960	202
936	2965	199
937	2969	196
938	2972	193
939	2974	189
940	2978	186
941	2982	183
942	2985	180
943	2988	177
944	2991	174
945	2997	171
946	3002	168
947	3005	164
948	3008	161
949	3015	158
950	3018	155
951	3021	152
952	3024	149
953	3028	146
954	3031	142
955	3034	139
956	3036	136
957	3040	133
958	3043	130
959	3046	126
960	3049	123
961	3052	120
962	3055	117
963	3057	114
964	3061	111
965	3064	107
966	3067	104
967	3070	101
968	3073	98
969	3076	95
970	3078	91
971	3081	88
972	3085	85
973	3088	82
974	3091	79
975	3094	76
976	3097	72
977	3100	69
978	3104	66
979	3106	63
980	3110	60
981	3113	57
982	3115	53
983	3118	50
984	3121	47
985	3124	44
986	3127	41
987	3130	38
988	3132	34
989	3135	31
990	3138	28
991	3141	25
992	3144	22
993	3148	19
994	3151	15
995	3154	12
996	3157	9
997	3160	6
998	3163	3
999	3166	0
